date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:55	16185/16185	---M--	200	added ('OK')	image/jpeg	etag:%223f39-5e713b076582a%22	https://www.puretelecom.ie/image/cache/catalog/Banners/Blog/howswitch-1024x683-228x228.jpg	D:/website/sunrise/www.puretelecom.ie/image/cache/catalog/Banners/Blog/howswitch-1024x683-228x228.jpg	(from https://www.puretelecom.ie/blog)
16:54:55	42192/42192	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:55%20GMT	https://www.puretelecom.ie/blog/five-reasons-why-pure-telecom-is-unique	D:/website/sunrise/www.puretelecom.ie/blog/five-reasons-why-pure-telecom-is-unique.html	(from https://www.puretelecom.ie/blog)
16:54:56	21206/21206	---M--	200	added ('OK')	image/jpeg	etag:%2252d6-5e713b076582a%22	https://www.puretelecom.ie/image/cache/catalog/Banners/Blog/puretelecom-bt-ireland-228x228.jpg	D:/website/sunrise/www.puretelecom.ie/image/cache/catalog/Banners/Blog/puretelecom-bt-ireland-228x228.jpg	(from https://www.puretelecom.ie/blog)
16:54:57	40841/40841	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:56%20GMT	https://www.puretelecom.ie/blog/pure-telecom-and-bt-ireland-sign-multi-million-telecoms-deal	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-and-bt-ireland-sign-multi-million-telecoms-deal.html	(from https://www.puretelecom.ie/blog)
16:54:57	39021/39021	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:56%20GMT	https://www.puretelecom.ie/blog/unlimited-broadband-by-pure-telecom	D:/website/sunrise/www.puretelecom.ie/blog/unlimited-broadband-by-pure-telecom.html	(from https://www.puretelecom.ie/blog)
16:54:57	40576/40576	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:57%20GMT	https://www.puretelecom.ie/blog/slow-broadband	D:/website/sunrise/www.puretelecom.ie/blog/slow-broadband.html	(from https://www.puretelecom.ie/blog)
16:54:58	40703/40703	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:57%20GMT	https://www.puretelecom.ie/blog/pure-telecom-research-reveals-almost-half-of-people-sharing-their-images-online-edit-their-selfies	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-research-reveals-almost-half-of-people-sharing-their-images-online-edit-their-selfies.html	(from https://www.puretelecom.ie/blog)
16:54:58	40696/40696	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:58%20GMT	https://www.puretelecom.ie/blog/almost-one-quarter-of-irish-adults-stream-esports-pure-telecom-survey	D:/website/sunrise/www.puretelecom.ie/blog/almost-one-quarter-of-irish-adults-stream-esports-pure-telecom-survey.html	(from https://www.puretelecom.ie/blog)
16:54:59	39110/39110	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:58%20GMT	https://www.puretelecom.ie/blog/customer-notification-comreg-price-update-1850-1890-0818-or-076-numbers	D:/website/sunrise/www.puretelecom.ie/blog/customer-notification-comreg-price-update-1850-1890-0818-or-076-numbers.html	(from https://www.puretelecom.ie/blog)
16:54:59	39883/39883	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:59%20GMT	https://www.puretelecom.ie/blog/pure-telecom-comreg-statement	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-comreg-statement.html	(from https://www.puretelecom.ie/blog)
16:54:59	43828/43828	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:59%20GMT	https://www.puretelecom.ie/blog/guide-to-getting-broadband-in-ireland	D:/website/sunrise/www.puretelecom.ie/blog/guide-to-getting-broadband-in-ireland.html	(from https://www.puretelecom.ie/blog)
